%%################################################################################
%
% Institution : Professur fuer Stroemungsmechanik (PfS), 
%               Helmut-Schmidt-Universitaet Hamburg (HSU)                
%
% Author      : Michael Breuer 
%
% E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
%
% Test Case   : 2D Periodic Hill Case
%
% Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
%                 3-D finite volume,
%                 Curvilinear body-fitted coordinate system,
%                 Non-staggered (cell-centered) grid arrangement,
%                 Block-structured grids 
%                 Spatial discretization:  central, second-order accurate
%                 Temporal discretization: Predictor-corrector scheme based on 
%                                          low-storage Runge-Kutta scheme, 
%                                          second-order accurate
% 
% Case        : 4   (Re = 2800, DNS) 
%
% Please refer to               
%
%          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
%          Flow over Periodic Hills - Numerical and Experimental Study in
%          a Wide Range of Reynolds Numbers, 
%          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
%          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
%
%          for further details. 
%
%%#################################################################################
%
%   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
%
 3.033407927E+00 1.691278070E-02 -4.347822085E-07 5.101641364E-05 9.934401080E-10 5.646262125E-09 3.583397483E-05
 3.027219296E+00 8.474438637E-02 -1.024459343E-04 1.199163264E-03 1.196575454E-06 6.979073078E-06 7.811636315E-04
 3.021030426E+00 1.545687765E-01 -3.275630588E-04 3.753521945E-03 8.850265658E-06 4.395089491E-05 2.336808015E-03
 3.014841557E+00 2.254879773E-01 -6.627416587E-04 7.476793602E-03 2.760420466E-05 1.312969980E-04 4.515508655E-03
 3.008652925E+00 2.962142825E-01 -1.092985854E-03 1.195936743E-02 5.933750435E-05 2.763950906E-04 7.083246019E-03
 3.002464056E+00 3.652845025E-01 -1.610034611E-03 1.670607366E-02 1.054093809E-04 4.787018406E-04 9.780973196E-03
 2.996275425E+00 4.314664900E-01 -2.193089109E-03 2.118133195E-02 1.642473508E-04 7.191079785E-04 1.233751420E-02
 2.990086555E+00 4.938125312E-01 -2.826376585E-03 2.504842170E-02 2.347101981E-04 9.791698540E-04 1.458345726E-02
 2.983897924E+00 5.514841080E-01 -3.495601239E-03 2.807000466E-02 3.159581684E-04 1.239886740E-03 1.639905572E-02
 2.977709055E+00 6.043751240E-01 -4.186112434E-03 3.023515642E-02 4.065974208E-04 1.487082453E-03 1.777818054E-02
