%%################################################################################
%
% Institution : Professur fuer Stroemungsmechanik (PfS), 
%               Helmut-Schmidt-Universitaet Hamburg (HSU)                
%
% Author      : Michael Breuer 
%
% E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
%
% Test Case   : 2D Periodic Hill Case
%
% Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
%                 3-D finite volume,
%                 Curvilinear body-fitted coordinate system,
%                 Non-staggered (cell-centered) grid arrangement,
%                 Block-structured grids 
%                 Spatial discretization:  central, second-order accurate
%                 Temporal discretization: Predictor-corrector scheme based on 
%                                          low-storage Runge-Kutta scheme, 
%                                          second-order accurate
% 
% Case        : 4   (Re = 2800, DNS) 
%
% Please refer to               
%
%          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
%          Flow over Periodic Hills - Numerical and Experimental Study in
%          a Wide Range of Reynolds Numbers, 
%          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
%          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
%
%          for further details. 
%
%%#################################################################################
%
%   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
%
 3.033407927E+00 2.158610336E-02 2.004465614E-06 6.122740888E-05 5.324849894E-09 6.651060858E-08 4.955442637E-05
 3.027219296E+00 1.031140983E-01 1.261783327E-04 1.357763307E-03 2.424396598E-06 1.776767931E-05 1.002724399E-03
 3.021030426E+00 1.810385734E-01 3.877839772E-04 4.163231235E-03 1.856631206E-05 1.019619231E-04 2.898352919E-03
 3.014841557E+00 2.541936338E-01 7.580099627E-04 7.941800170E-03 5.897810479E-05 2.767791157E-04 5.329055246E-03
 3.008652925E+00 3.216502964E-01 1.210977673E-03 1.201438252E-02 1.280820579E-04 5.303631769E-04 7.895006798E-03
 3.002464056E+00 3.827877045E-01 1.723724417E-03 1.584079675E-02 2.257880988E-04 8.336659521E-04 1.030210406E-02
 2.996275425E+00 4.367224574E-01 2.280200366E-03 1.903097145E-02 3.526044602E-04 1.155495411E-03 1.234247349E-02
 2.990086555E+00 4.847194850E-01 2.858548192E-03 2.159134671E-02 5.008455482E-04 1.470397576E-03 1.402586047E-02
 2.983897924E+00 5.265596509E-01 3.447894705E-03 2.348170802E-02 6.689732545E-04 1.762559172E-03 1.532985736E-02
 2.977709055E+00 5.635797977E-01 4.037328064E-03 2.487699874E-02 8.500977419E-04 2.027874580E-03 1.635096967E-02
 2.971520424E+00 5.958195329E-01 4.620044492E-03 2.581272647E-02 1.042456250E-03 2.260455163E-03 1.710747555E-02
 2.965331554E+00 6.245641112E-01 5.191717763E-03 2.644909732E-02 1.240397571E-03 2.465736121E-03 1.768875122E-02
 2.959142923E+00 6.500459909E-01 5.748519208E-03 2.683323994E-02 1.441454981E-03 2.643444808E-03 1.811985858E-02
 2.952954054E+00 6.727372408E-01 6.287820172E-03 2.702484839E-02 1.642533229E-03 2.795761218E-03 1.843408123E-02
 2.946765423E+00 6.932440996E-01 6.809382699E-03 2.708317339E-02 1.841076883E-03 2.927155234E-03 1.866500266E-02
 2.940576553E+00 7.118887901E-01 7.312998176E-03 2.703704685E-02 2.035545651E-03 3.039879957E-03 1.882890612E-02
 2.934387922E+00 7.287829518E-01 7.796184160E-03 2.690284513E-02 2.223507734E-03 3.134191036E-03 1.893397607E-02
 2.928199053E+00 7.442277074E-01 8.259916678E-03 2.670079656E-02 2.404045081E-03 3.212497570E-03 1.899196953E-02
 2.922010422E+00 7.584697008E-01 8.705584332E-03 2.644825168E-02 2.576359315E-03 3.276852658E-03 1.901293173E-02
 2.915821552E+00 7.716627717E-01 9.133200161E-03 2.615557238E-02 2.740051365E-03 3.328573890E-03 1.900286227E-02
 2.909632683E+00 7.839236856E-01 9.543491527E-03 2.582053281E-02 2.893494675E-03 3.369140206E-03 1.895807683E-02
 2.903444052E+00 7.953823209E-01 9.937320836E-03 2.546583861E-02 3.038479947E-03 3.398943227E-03 1.889530011E-02
 2.897255182E+00 8.060780764E-01 1.031450368E-02 2.509628423E-02 3.174542217E-03 3.417486791E-03 1.881710999E-02
 2.891066551E+00 8.161145449E-01 1.067608409E-02 2.471234649E-02 3.301524324E-03 3.426387440E-03 1.872241497E-02
 2.884877682E+00 8.255915046E-01 1.102388278E-02 2.431894653E-02 3.420243273E-03 3.426789306E-03 1.861434244E-02
 2.878689051E+00 8.345618248E-01 1.135731023E-02 2.391967177E-02 3.530936083E-03 3.419131273E-03 1.849487983E-02
 2.872500181E+00 8.430622816E-01 1.167719252E-02 2.351848222E-02 3.633964574E-03 3.403927432E-03 1.836616918E-02
 2.866311550E+00 8.511374593E-01 1.198441908E-02 2.311866172E-02 3.729820251E-03 3.381566610E-03 1.823032834E-02
 2.860122681E+00 8.588088155E-01 1.227886230E-02 2.272382192E-02 3.818870522E-03 3.352678614E-03 1.808967441E-02
 2.853934050E+00 8.661230803E-01 1.256209984E-02 2.233468369E-02 3.901656717E-03 3.317557974E-03 1.794539206E-02
 2.847745180E+00 8.730837107E-01 1.283343323E-02 2.195268497E-02 3.978496883E-03 3.277022624E-03 1.779876091E-02
 2.841556549E+00 8.797262907E-01 1.309506316E-02 2.157641388E-02 4.049783573E-03 3.231136827E-03 1.764973998E-02
 2.835367680E+00 8.860722780E-01 1.334658358E-02 2.120522968E-02 4.116189666E-03 3.180648666E-03 1.749850623E-02
 2.829179049E+00 8.921374679E-01 1.358909626E-02 2.083917707E-02 4.178032279E-03 3.125822404E-03 1.734558120E-02
 2.822990179E+00 8.979457617E-01 1.382401027E-02 2.047857456E-02 4.235972185E-03 3.067321377E-03 1.719156280E-02
