%%################################################################################
%
% Institution : Professur fuer Stroemungsmechanik (PfS), 
%               Helmut-Schmidt-Universitaet Hamburg (HSU)                
%
% Author      : Michael Breuer 
%
% E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
%
% Test Case   : 2D Periodic Hill Case
%
% Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
%                 3-D finite volume,
%                 Curvilinear body-fitted coordinate system,
%                 Non-staggered (cell-centered) grid arrangement,
%                 Block-structured grids 
%                 Spatial discretization:  central, second-order accurate
%                 Temporal discretization: Predictor-corrector scheme based on 
%                                          low-storage Runge-Kutta scheme, 
%                                          second-order accurate
% 
% Case        : 4   (Re = 2800, DNS) 
%
% Please refer to               
%
%          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
%          Flow over Periodic Hills - Numerical and Experimental Study in
%          a Wide Range of Reynolds Numbers, 
%          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
%          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
%
%          for further details. 
%
%%#################################################################################
%
%   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
%
 3.033407927E+00 2.324022353E-02 -2.398624019E-06 5.726706877E-05 3.806406745E-09 3.686035299E-08 4.001405978E-05
 3.027219296E+00 1.133741364E-01 -1.133223777E-04 1.245756284E-03 1.098746225E-06 8.859616173E-06 8.155393880E-04
 3.021030426E+00 2.027917802E-01 -3.517080040E-04 3.929198720E-03 8.485731996E-06 5.561708531E-05 2.462793840E-03
 3.014841557E+00 2.905267477E-01 -6.959583261E-04 7.785277907E-03 2.719512668E-05 1.644364384E-04 4.745970480E-03
 3.008652925E+00 3.749457598E-01 -1.122589340E-03 1.224063057E-02 5.965374658E-05 3.401600115E-04 7.345243823E-03
 3.002464056E+00 4.545964003E-01 -1.607821207E-03 1.667579450E-02 1.062907686E-04 5.699804169E-04 9.936449118E-03
 2.996275425E+00 5.279296041E-01 -2.131972229E-03 2.053339407E-02 1.678829867E-04 8.340757922E-04 1.223383751E-02
 2.990086555E+00 5.944822431E-01 -2.674318850E-03 2.352327667E-02 2.431946050E-04 1.105169998E-03 1.408798993E-02
 2.983897924E+00 6.542264819E-01 -3.218312049E-03 2.558938973E-02 3.311303153E-04 1.364210970E-03 1.546816435E-02
 2.977709055E+00 7.067966461E-01 -3.750944743E-03 2.674824372E-02 4.313048848E-04 1.594739500E-03 1.637793891E-02
 2.971520424E+00 7.531322837E-01 -4.263601732E-03 2.719970793E-02 5.420988891E-04 1.791547518E-03 1.691686176E-02
 2.965331554E+00 7.936678529E-01 -4.750793334E-03 2.711137384E-02 6.621234352E-04 1.951858285E-03 1.716629602E-02
 2.959142923E+00 8.286607862E-01 -5.205512512E-03 2.661047131E-02 7.910373970E-04 2.074159216E-03 1.718802005E-02
 2.952954054E+00 8.593786359E-01 -5.630277563E-03 2.587342076E-02 9.266873822E-04 2.166132210E-03 1.707275957E-02
 2.946765423E+00 8.862044215E-01 -6.024836097E-03 2.498718537E-02 1.067770761E-03 2.230579732E-03 1.686336286E-02
 2.940576553E+00 9.093099236E-01 -6.385765038E-03 2.401570231E-02 1.214236370E-03 2.269102726E-03 1.659069024E-02
 2.934387922E+00 9.296232462E-01 -6.717941724E-03 2.302490175E-02 1.364119467E-03 2.289207187E-03 1.629095338E-02
 2.928199053E+00 9.475176334E-01 -7.023643702E-03 2.204717696E-02 1.516476506E-03 2.294338075E-03 1.598132029E-02
 2.922010422E+00 9.633334279E-01 -7.305264007E-03 2.110388689E-02 1.670541358E-03 2.287464682E-03 1.567373984E-02
 2.915821552E+00 9.773429036E-01 -7.564409636E-03 2.021028847E-02 1.825361513E-03 2.271263162E-03 1.537687983E-02
 2.909632683E+00 9.897592664E-01 -7.802206557E-03 1.936219446E-02 1.979363151E-03 2.248893492E-03 1.508632302E-02
 2.903444052E+00 1.000809550E+00 -8.020699024E-03 1.858958602E-02 2.134120557E-03 2.219680930E-03 1.482476015E-02
 2.897255182E+00 1.010779142E+00 -8.222775534E-03 1.787433214E-02 2.287961775E-03 2.186876023E-03 1.458187122E-02
 2.891066551E+00 1.019805789E+00 -8.410769515E-03 1.721474715E-02 2.440408338E-03 2.151331631E-03 1.435780525E-02
 2.884877682E+00 1.028000951E+00 -8.585561067E-03 1.660972089E-02 2.591174329E-03 2.113813069E-03 1.415289845E-02
 2.878689051E+00 1.035438538E+00 -8.747842163E-03 1.605921239E-02 2.739485120E-03 2.074977616E-03 1.396757830E-02
 2.872500181E+00 1.042211175E+00 -8.899219334E-03 1.556045189E-02 2.885367721E-03 2.035025274E-03 1.380126830E-02
