%%################################################################################
%
% Institution : Professur fuer Stroemungsmechanik (PfS), 
%               Helmut-Schmidt-Universitaet Hamburg (HSU)                
%
% Author      : Michael Breuer 
%
% E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
%
% Test Case   : 2D Periodic Hill Case
%
% Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
%                 3-D finite volume,
%                 Curvilinear body-fitted coordinate system,
%                 Non-staggered (cell-centered) grid arrangement,
%                 Block-structured grids 
%                 Spatial discretization:  central, second-order accurate
%                 Temporal discretization: Predictor-corrector scheme based on 
%                                          low-storage Runge-Kutta scheme, 
%                                          second-order accurate
% 
% Case        : 4   (Re = 2800, DNS) 
%
% Please refer to               
%
%          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
%          Flow over Periodic Hills - Numerical and Experimental Study in
%          a Wide Range of Reynolds Numbers, 
%          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
%          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
%
%          for further details. 
%
%%#################################################################################
%
%   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
%
 3.034032106E+00 1.948860101E-02 -1.303614141E-07 2.233052692E-05 1.123987153E-10 2.474372263E-09 1.671118298E-05
 3.029668093E+00 1.047774330E-01 -4.232904303E-06 6.539982860E-04 3.914137778E-07 5.409348887E-06 4.624079447E-04
 3.025304079E+00 1.863658726E-01 -9.036431948E-06 2.100842074E-03 3.322151088E-06 3.259303776E-05 1.430838602E-03
 3.020940065E+00 2.640508413E-01 -8.906566109E-06 4.254622385E-03 1.175616035E-05 9.668027633E-05 2.818001900E-03
 3.016575813E+00 3.371672928E-01 1.395120080E-06 6.899774540E-03 2.824893636E-05 2.055995137E-04 4.483048338E-03
 3.012211800E+00 4.051717520E-01 2.744485937E-05 9.750155732E-03 5.504785076E-05 3.595775052E-04 6.262695417E-03
 3.007847786E+00 4.678197801E-01 7.297627599E-05 1.250245236E-02 9.273372416E-05 5.469062016E-04 7.991625927E-03
 3.003483772E+00 5.250210762E-01 1.398448949E-04 1.495716348E-02 1.413486461E-04 7.541905507E-04 9.562715888E-03
 2.999119520E+00 5.764893889E-01 2.307943214E-04 1.697036996E-02 2.014912461E-04 9.688548162E-04 1.089882664E-02
 2.994755507E+00 6.225293875E-01 3.471681848E-04 1.851170696E-02 2.724984079E-04 1.178404200E-03 1.198201720E-02
 2.990391493E+00 6.636379957E-01 4.862335627E-04 1.961957850E-02 3.534106654E-04 1.375285443E-03 1.283061039E-02
 2.986027479E+00 6.998619437E-01 6.496378337E-04 2.032839693E-02 4.438913893E-04 1.552809263E-03 1.345936023E-02
 2.981663227E+00 7.319661975E-01 8.332841680E-04 2.072795108E-02 5.427537835E-04 1.709908363E-03 1.391467080E-02
 2.977299213E+00 7.604818344E-01 1.036348869E-03 2.089410461E-02 6.488898071E-04 1.846777392E-03 1.423529536E-02
 2.972935200E+00 7.854205370E-01 1.258167671E-03 2.086356282E-02 7.621836849E-04 1.961694332E-03 1.443804055E-02
 2.968571186E+00 8.076490164E-01 1.492917072E-03 2.071299218E-02 8.804866229E-04 2.059210790E-03 1.456466876E-02
 2.964206934E+00 8.274881840E-01 1.740799053E-03 2.047772147E-02 1.003201469E-03 2.141225617E-03 1.463393494E-02
